speaker_cluster,speakers,avg_utterances,avg_energy_security_rate,avg_energy_minerals_rate,avg_energy_density,avg_security_density,avg_economic_density,avg_climate_density,avg_minerals_density,avg_securitization_index,cluster_label,silhouette_score_overall
0,98,35.33673469387755,0.1901145745456988,0.005082442814903877,26.63393875156618,2.7610191333762693,6.256799267507833,3.206432916955325,0.2112117121876195,0.2818057953897154,energy + economic,0.23825694582969517
1,10,19.7,0.7430173168391668,0.00909090909090909,29.893732067911934,33.3271260010026,2.779090493065128,1.2762352999458337,0.5116743540669857,3.785863402958005,security + energy,0.23825694582969517
2,61,78.19672131147541,0.12962343251434633,0.03540990237505339,49.521169505787576,2.286116976274953,4.528189626662769,8.254724196056289,1.6179813718012228,0.1917988436763444,energy + climate,0.23825694582969517
