year,utterances,sessions,speakers,energy_security_rate,energy_minerals_rate,avg_energy_density,avg_security_density,avg_economic_density,avg_climate_density,avg_minerals_density,avg_securitization_index,avg_security_share_of_frames
2019,2810,384,218,0.12170818505338078,0.022775800711743774,38.880599822064056,1.9180701779359433,3.9424073665480424,5.6520762633451955,1.726734412811388,0.2140795102117585,0.07724751531157453
2020,1517,282,194,0.16084377059986815,0.017139090309822018,34.711053724456164,2.102137969676994,3.6485303230059327,5.393839419907712,0.6723927488464074,0.23405575165368692,0.09828880056929541
2021,2430,259,218,0.14897119341563786,0.016049382716049384,40.69426057613168,2.3672968724279833,5.945645308641976,6.275461069958848,0.3744543209876543,0.27664527086018326,0.09083467075215168
2022,2345,202,193,0.24946695095948826,0.03326226012793177,44.371125501066096,6.94257223880597,7.391525287846482,4.289444946695096,1.3416887846481877,0.5896807398560642,0.17212653075363135
