frame,utterance_count,utterance_share,total_score,mean_density
energy,8894,0.977147879586904,32306.0,40.0844316084377
economic,2864,0.31465611953416833,8042.0,5.316856745770161
climate,2738,0.3008130081300813,7512.0,5.424402054493518
security,1559,0.17128103713469567,6150.0,3.363171149197978
minerals,415,0.04559437486266755,641.0,1.090785288947484
