speaker_id,speaker_display,speaker_party,speaker_role,utterances,energy_security_rate,energy_minerals_rate,avg_energy_density,avg_security_density,avg_economic_density,avg_climate_density,avg_minerals_density,avg_securitization_index,speaker_cluster
MarkRutte,Mark Rutte,Unknown,Unknown,307,0.28338762214983715,0.026058631921824105,29.998715635179153,6.449978501628665,5.471622149837134,5.3515208469055375,0.4090775244299675,0.8927504363172116,0
HenkNijboer,Henk Nijboer,Unknown,Unknown,145,0.06206896551724138,0.04827586206896552,34.61990620689655,0.39887793103448277,5.284383448275862,0.9630006896551724,1.2630724137931035,0.048234811165845645,0
ChrisStoffer,Chris Stoffer,Unknown,Unknown,110,0.14545454545454545,0.0,40.13622909090909,1.7104527272727272,4.495159090909091,4.006960909090909,0.0,0.2998993178538633,0
SigridKaag,Sigrid Kaag,Unknown,Unknown,104,0.23076923076923078,0.019230769230769232,24.802031730769233,4.274098076923077,11.919644230769231,7.475370192307692,0.36162692307692307,0.31665159093043704,0
PieterOmtzigt,Pieter Omtzigt,Unknown,Unknown,101,0.22772277227722773,0.0,34.015840594059405,5.340817821782178,13.686466336633664,0.6899782178217821,0.0,0.44662201514269073,0
WopkeHoekstra,Wopke Hoekstra,Unknown,Unknown,101,0.31683168316831684,0.0,23.883957425742576,5.629544554455446,6.787266336633664,1.1368772277227723,0.05294653465346535,0.6817847169332318,0
RenskeLeijten,Renske Leijten,Unknown,Unknown,100,0.18,0.01,43.632945,2.083752,2.8064940000000003,4.792762,0.272613,0.24178571428571427,0
KajsaOllongren,Kajsa Ollongren,Unknown,Unknown,96,0.09375,0.0,26.638422916666666,1.0654447916666667,0.9497885416666666,4.880164583333333,0.02893541666666667,0.16101641414141413,0
StientjevanVeldhoven,Stientjevan Veldhoven,Unknown,Unknown,92,0.05434782608695652,0.0,23.894977173913045,0.13089673913043479,1.4514250000000002,5.198757608695653,0.9350054347826087,0.016653411099328386,0
ThierryBaudet,Thierry Baudet,Unknown,Unknown,91,0.2857142857142857,0.01098901098901099,41.0480010989011,2.92541978021978,5.879420879120879,4.194784615384616,0.015115384615384616,0.41075377613839154,0
GeertWilders,Geert Wilders,Unknown,Unknown,72,0.20833333333333334,0.0,20.811855555555557,2.626427777777778,7.418334722222222,1.996377777777778,0.0,0.24097222222222225,0
JoostEerdmans,Joost Eerdmans,Unknown,Unknown,72,0.18055555555555555,0.0,49.74305555555556,2.604875,5.236326388888889,2.637169444444444,0.0,0.2603064373897708,0
CarolaSchouten,Carola Schouten,Unknown,Unknown,68,0.10294117647058823,0.0,20.879519117647057,0.7619985294117647,3.8538823529411768,2.160480882352941,0.0,0.052941176470588235,0
TonyvanDijck,Tonyvan Dijck,Unknown,Unknown,66,0.18181818181818182,0.0,37.96772121212121,1.563169696969697,20.962966666666667,1.9437484848484847,0.0,0.11118233618233618,0
EstherOuwehand,Esther Ouwehand,Unknown,Unknown,64,0.140625,0.0,25.68845625,1.184115625,7.63320625,9.793025,0.0,0.0682753878066378,0
HugodeJonge,Hugode Jonge,Unknown,Unknown,61,0.13114754098360656,0.0,15.599913114754099,1.5961852459016392,2.1583163934426226,1.1140999999999999,0.5976770491803279,0.20491803278688525,0
LilianMarijnissen,Lilian Marijnissen,Unknown,Unknown,60,0.016666666666666666,0.0,47.66598,0.04386,3.5925083333333334,0.9542433333333334,0.0,0.00392156862745098,0
MahirAlkaya,Mahir Alkaya,Unknown,Unknown,56,0.14285714285714285,0.0,33.947758928571425,1.580694642857143,6.6868678571428575,0.5851303571428571,0.0,0.14944727891156462,0
AlexandervanHattem,Alexandervan Hattem,Unknown,Unknown,54,0.18518518518518517,0.0,30.19203333333333,1.5360129629629629,0.3063055555555556,8.366718518518518,0.0,0.22839506172839505,0
