speaker_id,speaker_display,speaker_party,speaker_role,utterances,energy_security_count,energy_security_rate,energy_minerals_count,avg_energy_density,avg_security_density,avg_economic_density,avg_climate_density,avg_minerals_density,avg_securitization_index
SalimaBelhaj,Salima Belhaj,Unknown,Unknown,5,5,1.0,0,6.480459999999999,26.1045,0.21528,0.27322,0.0,11.3
KatiPiri,Kati Piri,Unknown,Unknown,16,15,0.9375,0,16.27146875,42.4346125,2.22590625,0.0,0.0,5.09375
RuudKoole,Ruud Koole,Unknown,Unknown,8,7,0.875,0,5.722275,21.3530625,2.0128875,2.3893500000000003,0.0,4.032638888888889
MartijnvanHelvert,Martijnvan Helvert,Unknown,Unknown,12,10,0.8333333333333334,0,18.136725,37.94351666666667,0.49644166666666667,0.2302,0.0,5.416666666666667
BenKnapen,Ben Knapen,Unknown,Unknown,11,9,0.8181818181818182,0,20.739245454545454,26.69201818181818,2.342481818181818,1.6559909090909088,0.3523636363636364,5.2623376623376625
BarbaraVisser,Barbara Visser,Unknown,Unknown,14,11,0.7857142857142857,0,10.997507142857144,9.968114285714288,0.5213785714285714,1.2417142857142858,0.0,1.8928571428571428
SjoerdSjoerdsma,Sjoerd Sjoerdsma,Unknown,Unknown,53,40,0.7547169811320755,0,33.81494716981132,29.08097358490566,1.7240264150943396,3.336566037735849,0.0,3.498256146369354
RoelienKamminga,Roelien Kamminga,Unknown,Unknown,8,6,0.75,0,13.3980625,31.121675,3.516225,5.5899625,0.0,3.8854166666666665
RubenBrekelmans,Ruben Brekelmans,Unknown,Unknown,19,14,0.7368421052631579,0,26.126563157894736,66.95303684210526,6.505410526315789,0.35562105263157895,1.7867526315789475,5.7368421052631575
BramvanOjik,Bramvan Ojik,Unknown,Unknown,28,20,0.7142857142857143,0,59.0656,30.722114285714287,1.320582142857143,1.3325607142857143,0.0,2.2392857142857143
VickyMaeijer,Vicky Maeijer,Unknown,Unknown,7,5,0.7142857142857143,0,24.66041428571429,9.14332857142857,3.8959857142857146,6.350671428571429,0.0,1.2904761904761906
PepijnvanHouwelingen,Pepijnvan Houwelingen,Unknown,Unknown,9,6,0.6666666666666666,0,37.593222222222224,15.580411111111111,27.633422222222222,2.7476555555555553,0.0,3.6354497354497357
SvenKoopmans,Sven Koopmans,Unknown,Unknown,6,4,0.6666666666666666,0,59.21948333333333,46.91943333333333,0.7575833333333333,0.7575833333333333,0.79745,2.4166666666666665
MariekeKoekkoek,Marieke Koekkoek,Unknown,Unknown,11,7,0.6363636363636364,1,23.566763636363635,31.373054545454547,3.1195363636363638,4.6097,2.977627272727273,1.7045454545454546
JaspervanDijk,Jaspervan Dijk,Unknown,Unknown,16,10,0.625,0,23.16380625,27.097825,4.8011,0.0,0.0,2.7395833333333335
DerkjanEppink,Derkjan Eppink,Unknown,Unknown,21,13,0.6190476190476191,0,36.66604761904762,19.028338095238094,18.567114285714286,1.8598571428571429,0.0,0.9697965150972669
AlfredArbouw,Alfred Arbouw,Unknown,Unknown,5,3,0.6,0,8.700579999999999,35.15238,0.0,0.9433999999999999,1.8867999999999998,4.5
MartineBaay-Timmerman,Martine Baay- Timmerman,Unknown,Unknown,5,3,0.6,0,8.64366,3.9012000000000002,1.562,3.7037,12.5,1.3
ToineBeukering,Toine Beukering,Unknown,Unknown,5,3,0.6,0,26.36894,15.58392,13.234280000000002,11.55886,0.0,1.3
RaymonddeRoon,Raymondde Roon,Unknown,Unknown,17,10,0.5882352941176471,0,67.05469411764705,31.00599411764706,4.734041176470589,0.0,0.0,4.2745098039215685
DerkBoswijk,Derk Boswijk,Unknown,Unknown,9,5,0.5555555555555556,0,9.962011111111112,6.824588888888888,0.8334333333333332,6.913033333333334,0.0,2.0
JorisBacker,Joris Backer,Unknown,Unknown,20,11,0.55,0,18.15061,16.827575000000003,3.325185,1.029855,0.0,0.8714285714285716
SadetKarabulut,Sadet Karabulut,Unknown,Unknown,14,7,0.5,0,35.752092857142856,13.737964285714286,3.2258,0.9843142857142857,0.0,1.1666666666666665
OlafEphraim,Olaf Ephraim,Unknown,Unknown,10,5,0.5,0,16.44399,9.72076,13.469370000000001,0.1845,0.0,1.7925
AndréBosman,André Bosman,Unknown,Unknown,8,4,0.5,0,4.2256875,8.9392625,5.6798375000000005,0.1719375,0.0,1.3174603174603174
KikiHagen,Kiki Hagen,Unknown,Unknown,9,4,0.4444444444444444,0,28.486577777777782,14.963366666666666,2.728833333333333,23.94651111111111,0.0,0.39880952380952384
RomkedeJong,Romkede Jong,Unknown,Unknown,7,3,0.42857142857142855,0,19.4808,6.426,6.181871428571428,12.58752857142857,0.0,0.9928571428571429
StienekevanderGraaf,Stienekevander Graaf,Unknown,Unknown,7,3,0.42857142857142855,0,5.681385714285715,8.415542857142858,1.0446428571428572,2.1104285714285718,0.5473428571428571,2.642857142857143
PaulFrentrop,Paul Frentrop,Unknown,Unknown,12,5,0.4166666666666667,0,18.096966666666663,5.528341666666666,5.9986,4.102083333333333,0.0,0.4212962962962963
DaandeKort,Daande Kort,Unknown,Unknown,5,2,0.4,0,51.299839999999996,11.10708,0.0,0.0,0.0,0.6
